mq135air,,mq135co2,,mq135-33%,,mq135-85%,
ppm,rs/r0,ppm,rs/r0,temp,rs/r0,temp,rs/r0
"10,1815172171818","3,59381366380463",10,"2,29374015568358","-10,1421800947867","1,70954773869347","-10,1421800947867","1,5286432160804"
"15,6787884382697","3,59381366380463","12,8639694493697","2,10990566671662","-5,2132701421801","1,55577889447236","-5,97156398104266","1,42010050251256"
"38,8905199928032","3,59381366380463","20,7207871715422","1,78525673548234","0,66350710900474","1,36582914572864","2,18009478672985","1,19396984924623"
"60,4296390238132","3,59381366380463","27,1389943120822","1,64217524526689","5,02369668246445","1,2572864321608","5,02369668246445","1,121608040201"
"89,7687132447313","3,59381366380463","38,1971754928366","1,44876428911899","12,2274881516588","1,07638190954774","10,1421800947867","1,02211055276382"
"161,076153461771","3,59381366380463","66,7142718041349","1,21311012291969","20,9478672985782","0,9678391959799","17,1563981042654","0,931658291457286"
"25,9455272140401","3,59381366380463","86,5964323360065","1,10429193459686","30,4265402843602","0,949748743718593",20,"0,904522613065327"
"117,574326592071","3,59381366380463","127,487836177098","0,954095476349995","45,5924170616114","0,91356783919598","27,3933649289099","0,877386934673367"
"196,32190067904","3,59381366380463","170,007761882287","0,850560510172018","49,7630331753555","0,904522613065327","41,2322274881516","0,8321608040201"
,,"198,095677855033","0,798903513349227",,,"46,3507109004739","0,823115577889447"
,,,,,,"49,9526066350711","0,814070351758794"
,,,,,,"34,4075829383886","0,850251256281407"
